page path;publishDate;cq:lastModified;cq:styleIds;linkItems;listFrom;maxItems;maxOnPageItems;orderBy;pages;paginationType;parentPage;childDepth;rss;showDescription;showEyebrow;showImage;showModificationDate;sortOrder;tags;tagsMatch;tagsSearchRoot
/content/usta-foundation/en/home/news/frances-tiafoe-fund-surpasses--1-million-raised;2026-07-23T00:00:00.000-04:00;2026-07-28T14:45:54.991Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;children;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-teams-up-with-la-roche-posay-for-events-at-selec;;2026-05-06T15:10:13.353Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/inaugural-usta-foundation-impact-conference;;2026-05-06T15:03:30.248Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/evert-speaks-on-rally-to-rebuild;;2026-05-06T15:09:41.131Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/women-s-history-month-2026--how-two-community-impact-hub-leaders;2026-03-25T00:00:00.000-04:00;2026-05-06T15:15:30.017Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/laver-cup-launches-2025-san-francisco-community-legacy-project-w;;2026-05-06T15:12:29.068Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/mississippi-njtl-family-biz-builder;;2026-05-06T15:08:22.877Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-launches-community-impact-hub-initiative;;2026-05-06T15:13:17.204Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta/en/home/stay-current/national;2;FALSE;TRUE;FALSE;TRUE;TRUE;desc;usta:categories/about-usta/who-we-are/usta-foundation;any;/content/usta/en/home/stay-current/national
/content/usta-foundation/en/home/news/kings-county-tennis-league-nominated-for-laureus-sport-for-good-;;2026-05-06T15:15:05.312Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;desc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation--reginald-f--lewis-foundation-announce-inaugural;2026-09-04T00:00:00.000-04:00;2026-09-04T22:20:43.619Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-receives-transformative--2-7-million-gift-from-t;;2026-05-06T15:14:19.067Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;static;3;9;modified;/content/usta-foundation/en/home/news/usta-foundation-launches-community-impact-hub-initiative, /content/usta-foundation/en/home/news/usta-foundation-scholarship-recipients-meet-billie-jean-king-at-, /content/usta-foundation/en/home/news/usta-foundation-launches-williams-family-excellence-program-at-2;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/frances-tiafoe-holds-clinic-for-youth-from-houston-tennis-associ;;2026-05-06T15:10:24.670Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-and-yonex-team-up-to-transform-communities-and-e;2026-05-19T00:00:00.000-04:00;2026-05-19T15:12:07.885Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/who-we-are/usta-foundation, usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/black-history-month-2026--community-impact-hub-leader-john-borde;;2026-05-06T15:14:41.793Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-celebrates-2026-njtl-essay-contest-winners-at-us;2026-08-28T00:00:00.000-04:00;2026-08-28T18:25:52.675Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/novo-nordisk-donnelly-scholarship-winners-meet-billie-jean-king;;2026-05-06T15:04:55.524Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-launches-williams-family-excellence-program-at-2;;2026-05-06T15:13:38.889Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/who-we-are/usta-foundation;any;/content/usta/en/home/stay-current/national
/content/usta-foundation/en/home/news/carol-ngounoue-runner-up-wimbledon-event;;2026-05-06T15:04:21.863Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/njtl-essay-grant-recipients-2020;;2026-05-06T15:09:29.917Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/mackenzie-mcdonald---i-m-making-it-my-mission-to-help-open-the-s;;2026-05-06T15:10:47.994Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-to-celebrate-winners-of-2025-national-junior-ten;;2026-05-06T15:13:02.781Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;desc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/njtl-essay-contest-winners-2024-open;;2026-05-06T15:04:32.822Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/ngounoue-excellence-team-junior-french-open;;2026-05-06T15:07:30.891Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
